"prefix","idorgNamespace","title","description","sourceType","baseUri","alternatePrefixes","licence","versionInfo"
"AFO","","Allotrope Merged Ontology Suite","Allotrope Merged Ontology Suite","ONTOLOGY","","afo,AFO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:41:20.168+0000"
"APOLLO_SV","","Apollo Structured Vocabulary (Apollo-SV)","Defines terms and relations necessary for interoperation between epidemic models and public health application software that interface with these models","ONTOLOGY","","apollo_sv,APOLLO_SV","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:40:19.249+0000"
"CLO","","CLO: Cell Line Ontology","The Cell Line Ontology (CLO) is a community-based ontology of cell lines. The CLO is developed to unify publicly available cell line entry data from multiple sources to a standardized logically defined format based on consensus design patterns.","ONTOLOGY","","clo,CLO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:36:51.828+0000"
"CO_323","","Barley ontology","ICARDA - TDv5 - Sept 2018","ONTOLOGY","","co_323,CO_323","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:36:00.159+0000"
"CO_325","","Banana ontology","Banana Trait Dictionary in template 5 - Bioversity & IITA - April 2019","ONTOLOGY","","co_325,CO_325","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:39:01.236+0000"
"CO_327","","Pearl millet ontology","Pearl millet Trait Dictionary in template 5 - ICRISAT/INERA - April 2016","ONTOLOGY","","co_327,CO_327","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:39:00.985+0000"
"CO_330","","Potato ontology","CIP - potato ontology - december 2018","ONTOLOGY","","co_330,CO_330","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:39:01.109+0000"
"CO_331","","Sweet Potato ontology","Sweet Potato Trait Dictionary in template v5 - CIP - November 2019","ONTOLOGY","","co_331,CO_331","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:34:21.076+0000"
"CO_333","","Beet Ontology ontology","This ontology was built as part of the AKER project. It describes variables used in beet phenotyping (experimental properties and measurement scale) for each institution (INRA, Geves, ITB) and breeding companies (Florimond Desprez). Curator: Daphne Verdelet (Florimond Desprez) - Submitted in November 2017.","ONTOLOGY","","co_333,CO_333","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:40:23.317+0000"
"CO_339","","Lentil ontology","Lentil Trait Dictionary in template v5 - ICARDA - July 2015","ONTOLOGY","","co_339,CO_339","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:39:01.018+0000"
"CO_340","","Cowpea ontology","Cowpea Trait Dictionary in template v5 - IITA - August 2015","ONTOLOGY","","co_340,CO_340","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:39:01.208+0000"
"CO_341","","Pigeonpea ontology","Pigeonpea Trait Dictionary in template v5 - ICRISAT - July 2015","ONTOLOGY","","co_341,CO_341","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:39:06.086+0000"
"CO_343","","Yam ontology","version 2019 - pvs","ONTOLOGY","","co_343,CO_343","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:36:06.454+0000"
"CO_345","","Brachiaria ontology","Brachiaria (forages) ontology TD v5 - Version Oct 2016","ONTOLOGY","","co_345,CO_345","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:34:22.114+0000"
"CO_346","","Mungbean ontology","oct 2016","ONTOLOGY","","co_346,CO_346","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:39:06.082+0000"
"CO_347","","Castor bean ontology","March 2017 version ","ONTOLOGY","","co_347,CO_347","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:39:06.083+0000"
"CO_348","","Brassica ontology","Brassica Trait Ontology (BRaTO) hosts trait information to describe brassica crop data. Terms are collected from various projects including OREGIN, RIPR (UK) and Rapsodyn (France). BRATO development is conducted by Earlham Institute (UK), Southern Cross University (Australia) and INRA (France).","ONTOLOGY","","co_348,CO_348","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:40:01.467+0000"
"CO_350","","Oat ontology","Oat trait dictionary started by Oat Global (http://oatglobal.org/) and improved by NIAB and PepsiCo","ONTOLOGY","","co_350,CO_350","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:39:06.142+0000"
"CO_356","","Vitis ontology","Grape Ontology including OIV and bioversity descriptors. INRA July 2017","ONTOLOGY","","co_356,CO_356","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:39:43.964+0000"
"CO_357","","Woody Plant Ontology ontology","This ontology list all variables used for woody plant observations. Terms are collected from various sources (past and ongoing projects at national and international levels). Curators: Celia Michotey (INRA) & Ines Chaves (IBET) - Version 1 submitted on August 2017 by INRA.","ONTOLOGY","","co_357,CO_357","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:39:11.237+0000"
"CO_358","","Cotton ontology","Cotton ontology from CottonGen database - June 2019","ONTOLOGY","","co_358,CO_358","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:41:20.198+0000"
"CO_359","","Sunflower ontology","December 2019","ONTOLOGY","","co_359,CO_359","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:40:49.531+0000"
"CO_360","","Sugar Kelp trait ontology","Sugar Kelp trait ontology","ONTOLOGY","","co_360,CO_360","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:39:48.782+0000"
"CO_365","","Fababean ontology","developed by ICARDA - Dec 2018","ONTOLOGY","","co_365,CO_365","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:40:18.979+0000"
"CO_366","","Bambara groundnut ontology","version Dec 2019","ONTOLOGY","","co_366,CO_366","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:41:41.978+0000"
"COB","","Core Ontology for Biology and Biomedicine","COB brings together key terms from a wide range of OBO projects to improve interoperability.","ONTOLOGY","","cob,COB","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:41:16.671+0000"
